Top 20 nodes with largest distance from root. Format: (Vertex ID, Distance from Root)
(67660,13)
(162544,13)
(72378,12)
(68972,12)
(76215,12)
(84083,12)
(56685,12)
(114992,11)
(97078,11)
(84516,11)
(39228,11)
(152660,11)
(104386,11)
(129914,11)
(12308,11)
(117900,11)
(113005,11)
(64969,11)
(129073,11)
Answers from code:
(67660,13)
(162544,13)
(72378,12)
(68972,12)
(76215,12)
(84083,12)
(56685,12)
(114992,11)
(97078,11)
(84516,11)
(39228,11)
(152660,11)
(104386,11)
(129914,11)
(12308,11)
(117900,11)
(112417,11)
(113005,11)
(64969,11)
(129073,11)
